,?,count,distance
0,2811,96,4.75
1,2812,85,4.75
2,2813,104,4.75
3,2814,86,4.75
4,2815,84,4.75
5,2816,91,4.75
6,2817,89,4.75
7,2818,93,4.75
8,2819,94,4.75
9,2820,84,4.75
10,2829,87,5.0
11,2830,70,5.0
12,2831,76,5.0
13,2832,84,5.0
14,2833,83,5.0
15,2834,69,5.0
16,2835,73,5.0
17,2836,72,5.0
18,2837,94,5.0
19,2838,77,5.0
20,2843,69,5.25
21,2844,74,5.25
22,2845,77,5.25
23,2846,91,5.25
24,2847,71,5.25
25,2848,91,5.25
26,2849,89,5.25
27,2850,73,5.25
28,2851,71,5.25
29,2852,83,5.25
30,2860,63,5.5
31,2861,67,5.5
32,2862,66,5.5
33,2863,83,5.5
34,2864,73,5.5
35,2865,69,5.5
36,2866,57,5.5
37,2867,51,5.5
38,2868,71,5.5
39,2869,81,5.5
40,2877,59,5.75
41,2878,53,5.75
42,2879,45,5.75
43,2880,54,5.75
44,2881,51,5.75
45,2882,75,5.75
46,2883,48,5.75
47,2884,65,5.75
48,2885,48,5.75
49,2886,57,5.75
50,2893,56,6.0
51,2894,56,6.0
52,2895,46,6.0
53,2896,38,6.0
54,2897,42,6.0
55,2898,49,6.0
56,2899,49,6.0
57,2900,48,6.0
58,2901,46,6.0
59,2902,51,6.0
60,2908,47,6.25
61,2909,32,6.25
62,2910,52,6.25
63,2911,58,6.25
64,2912,39,6.25
65,2913,46,6.25
66,2914,50,6.25
67,2915,60,6.25
68,2916,33,6.25
69,2917,32,6.25
70,2931,38,6.5
71,2932,53,6.5
72,2933,40,6.5
73,2934,36,6.5
74,2935,42,6.5
75,2936,50,6.5
76,2937,41,6.5
77,2938,41,6.5
78,2939,38,6.5
79,2940,35,6.5
80,2951,31,6.75
81,2952,36,6.75
82,2953,35,6.75
83,2954,41,6.75
84,2955,34,6.75
85,2956,38,6.75
86,2957,38,6.75
87,2958,31,6.75
88,2959,27,6.75
89,2960,33,6.75
90,2968,31,7.0
91,2969,36,7.0
92,2970,34,7.0
93,2971,39,7.0
94,2972,38,7.0
95,2973,27,7.0
96,2974,37,7.0
97,2975,31,7.0
98,2976,30,7.0
99,2977,30,7.0
